dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
NF-Corpus,BM25,PLAIN-603,Arkansas,0.0015067590002217912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-613,ascorbic acid,0.0025621519998821896,0.0,0.0,0.0,0.0,0.06362078819895171,0.1,0.1,0.01,0.06362078819895171,0.1,0.1,0.01,0.06362078819895171,0.1,0.1,0.01
NF-Corpus,BM25,PLAIN-623,Atkins diet,0.002677829000276688,0.38356636737133565,0.5,0.04878048780487805,0.2333333333333333,0.2489083270225946,0.5,0.04878048780487805,0.11666666666666665,0.16063730702017212,0.5,0.04878048780487805,0.05833333333333333,0.2489083270225946,0.5,0.04878048780487805,0.11666666666666665
NF-Corpus,BM25,PLAIN-634,avocados,0.0014972509998187888,0.21398626473452756,0.5,0.047619047619047616,0.1,0.13886244387355454,0.5,0.047619047619047616,0.05,0.08961728720334347,0.5,0.047619047619047616,0.025,0.13886244387355454,0.5,0.047619047619047616,0.05
NF-Corpus,BM25,PLAIN-645,bagels,0.0012924360007673386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-660,beans,0.0014252090004447382,1.0,1.0,0.010526315789473684,1.0,1.0,1.0,0.021052631578947368,1.0,0.8923941032785012,1.0,0.035789473684210524,0.8142992709904476,1.0,1.0,0.021052631578947368,1.0
NF-Corpus,BM25,PLAIN-671,benzene,0.0013600759994005784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NF-Corpus,BM25,PLAIN-681,betel nuts,0.0026133559995287214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NF-Corpus,BM25,PLAIN-691,bioavailability,0.0014492829996015644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-701,black raspberries,0.002289371000188112,0.48522855511632257,1.0,0.25,0.3,0.361879195385413,1.0,0.25,0.1875,0.361879195385413,1.0,0.25,0.1875,0.361879195385413,1.0,0.25,0.1875
NF-Corpus,BM25,PLAIN-711,blood clots,0.002764122999906249,0.3391602052736161,1.0,0.017543859649122806,0.2,0.22009176629808017,1.0,0.017543859649122806,0.1,0.1420400396336573,1.0,0.017543859649122806,0.05,0.22009176629808017,1.0,0.017543859649122806,0.1
NF-Corpus,BM25,PLAIN-721,BMAA,0.0013009670001338236,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,0.9347967382841031,1.0,0.72,0.9,1.0,1.0,0.4,1.0
NF-Corpus,BM25,PLAIN-731,bone fractures,0.00245686900052533,1.0,1.0,0.09259259259259259,1.0,0.7909506325094737,1.0,0.12962962962962962,0.67,0.6211812402085762,1.0,0.18518518518518517,0.4347564935064935,0.7909506325094737,1.0,0.12962962962962962,0.67
NF-Corpus,BM25,PLAIN-741,BPH,0.0014792929996474413,0.8687949224876582,1.0,0.21052631578947367,0.8,0.84860265890399,1.0,0.42105263157894735,0.736547619047619,0.5659627149273387,1.0,0.42105263157894735,0.38765664160401,0.84860265890399,1.0,0.42105263157894735,0.736547619047619
NF-Corpus,BM25,PLAIN-751,BRCA genes,0.004388409000057436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
