dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10
NF-Corpus,PLAIN-2960,0.3273949503887395,0.25,0.5,0.125,0.3273949503887395,0.25,0.5,0.125,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2981,0.5030904516575294,1.0,0.2857142857142857,0.18367346938775508,0.43122038713502525,1.0,0.14285714285714285,0.14285714285714285,-0.07187006452250416,0.0,-0.14285714285714285,-0.040816326530612235
NF-Corpus,PLAIN-2991,0.3065735963827292,0.3333333333333333,0.5,0.16666666666666666,0.38685280723454163,0.5,0.5,0.25,0.08027921085181244,0.16666666666666669,0.0,0.08333333333333334
NF-Corpus,PLAIN-3001,0.20438239758848611,0.14285714285714285,0.5,0.07142857142857142,0.0,0.0,0.0,0.0,-0.20438239758848611,-0.14285714285714285,-0.5,-0.07142857142857142
NF-Corpus,PLAIN-3014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-3026,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,-0.3010299956639812,-0.1111111111111111,-1.0,-0.1111111111111111
NF-Corpus,PLAIN-3037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-3053,0.7653606369886217,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-3063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-3074,1.0,1.0,1.0,1.0,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,-0.6989700043360187,-0.8888888888888888,0.0,-0.8888888888888888
NF-Corpus,PLAIN-3085,0.38685280723454163,0.5,0.5,0.25,0.2640681225725909,0.25,0.5,0.125,-0.12278468466195075,-0.25,0.0,-0.125
NF-Corpus,PLAIN-3097,0.4770382338730848,1.0,0.25,0.25,0.4770382338730848,1.0,0.25,0.25,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-3116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-3131,0.14234052824960539,0.2,0.16666666666666666,0.03333333333333333,0.1584652550904766,0.25,0.16666666666666666,0.041666666666666664,0.016124726840871212,0.04999999999999999,0.0,0.008333333333333331
NF-Corpus,PLAIN-3141,0.09020315758404258,0.1111111111111111,0.029411764705882353,0.01111111111111111,0.223580089685508,0.5,0.058823529411764705,0.1,0.1333769321014654,0.3888888888888889,0.029411764705882353,0.08888888888888889
NF-Corpus,PLAIN-3151,0.07716607426375235,0.1,0.05555555555555555,0.01,0.6911751783860757,1.0,0.3333333333333333,0.4308333333333333,0.6140091041223233,0.9,0.2777777777777778,0.4208333333333333
